headword,pronunciation
너도밤나무,n ə d o b a m n a m u
넋,n ə k
널,n ə l
널뛰기,n ə lː t ˈ w i g i
넓적다리,n ə p c ə k d a r i
넘,n ə m
넘실,n ə m ʃ i l
넘실거리다,n ə m ʃ i l g ə r i d a
넘실넘실,n ə m ʃ i l n ə m ʃ i l
넙적,n ə p c ə k
넙적고무신,n ə p c ə k g o m u ʃ i n
네,n eː
네,n e
네덜란드인,n e d ə l l a n d ɨ i n
네임스페이스,n e i m s ɨ pʰ e i s ɨ
네제곱,n eː c e k o p
네트워크,n e tʰ ɨ w ə kʰ ɨ
네팔인,n e pʰ a l i n
녀동무,ɲ ə d o ŋ m u
녀동생,n j ə d o ŋ s ɛ ŋ
녀아,n j ə a
녀탕,ɲ j ə tʰ a ŋ
녘,n j ʌ̹ k̚
노계,n o g j e
노동력,n o d o ŋ n j ə k
노랭이,n o r ɛ ŋ i
노르웨이인,n o r ɨ w e i i n
노른어,n o r ɨ n ə
노른자,n o r ɨ n ɟ a
노른자위,n o ɾ ɨ n ɟ a w i
노면,n o m j ə n
노모,n o m o
노상,n o s a ŋ
노상방뇨,n o s a ŋ p a ŋ n j o
노서아,n o s ə a
노쇠,n o s ø n o s w e
노자,n o ɟ a
노장,n o ɟ a ŋ
노장,n oː ɟ a ŋ
녹나다,n o k n a d a
녹록하다,n o ŋ n o kʰ a d a
녹물,
녹슬다,n o k s ɨ l d a
녹이다,n o k i d a
논담,n o n d a m
논리적,n o l l i ɟ ə k
논리학,n o l l i h a k
논물,
논술,n o n s u l
논쟁되다,n o n ɟ ɛ ŋ d ø d a n o n ɟ ɛ ŋ d w e d a
논쟁하다,n o n ɟ ɛ ŋ h a d a
논증,n o n ɟ ɨ ŋ
놀란흙,n oː l l a n h ɨ k
농구공,n o ŋ g u g o ŋ
농담,n oː ŋ d a m
농담,n o ŋ d a m
농약,n o ŋ j a k
농축,n o ŋ cʰ u k
농학,n o ŋ h a k
뇌랗다,n w eː r a tʰ a
뇌사,n ø s a n w e s a
뇌염모기,n w e j ə m m o g i n ø j ə m m o g i
뇌종양,n ø c o ŋ j a ŋ n w e c o ŋ j a ŋ
누,n u
누구누구,n u g u n u g u
누다,n u d a
누렇다,n u r ə tʰ a
누리집,n u r i ɟ i p
누수기,n u s u g i
눈,n u n
눈,n uː n
눈꺼풀,n u n k ə pʰ u l
눈싸움,n u n s a u m
느낌씨,n ɨ k i m s i n ɨ k i m ʃ i
늘큰늘큰,n ɨ l kʰ ɨ n n ɨ l kʰ ɨ n
늘큰늘큰하다,n ɨ l kʰ ɨ n n ɨ l kʰ ɨ n h a d a
능,n ɨ ŋ
능격,n ɨ ŋ g j ə k
능동사,n ɨ ŋ d o ŋ s a
늦,n ɨ t
늦겨울,n ɨ t g j ə u l
늦봄,n ɨ t p o m
늦여름,n ɨ t j ə r ɨ m
늪,n ɨ p
니,n i
니승,n i s ɨ ŋ
니야기,n i j a g i
니제르,n i ɟ e r ɨ
니카라과,n i kʰ a r a g w a
님,n i m
다ᄅᆞ다,t a r ɒ d a
다각,t a g a k
다라국,t a r a g u k
다랗다,t a̠ ɾ a̠ tʰ a̠
다사마,t a s a m a
다운로드,t a u n r o d ɨ
다윈주의,t a w i n ɟ u ɨ j
다지,d a ɟ i
단결하다,t a n g j ə l h a d a
단계적,t a n g e ɟ ə k
단군조선,t a n g u n ɟ o s ə n
단념,t aː n ɲ ə m
단념하다,t aː n ɲ ə m h a d a
단단,t a n t a n
단무지,t a n m u ɟ i
단물,t a n m u l
단물얼음,t a n m u l ə l ɨ m
단식하다,t a n ʃ i k h a d a
단언하다,t a n ə n h a d a
단열적,t aː ɲ ə l c ə k
단일어,t a n i l ə
단정,t a n ɟ ə ŋ
단조,t a n ɟ o
단추구멍,t a n cʰ u g u m ə ŋ
달,t a l
달걀덮밥,t a l g j a l t ə p b a p
달걀말이,t a l g j a l m a l i
달다,t a l d a
달다,t aː l d a
달말루,t a l m a l l u
달말루국,t a l m a l l u g u k
닭갈비,t a k g a l b i
닭고기덮밥,t a k g o g i t ə p b a p
닭꼬치,t a k k o cʰ i
닮은비,t aː m ɨ n b i
닮음도형,t aː m ɨ m d o h j ə ŋ
담,t a m
담,t aː m
담날,t a m n a l
담량,t a m r j a ŋ
담뱃대,t aː m b ɛ t t ɛ
당,t a ŋ
당구,t a ŋ g u
당구공,t a ŋ g u g o ŋ
당선,t a ŋ s ə n
당연,t a ŋ j ə n
대,t ɛː
대,t ɛ
대간,d ɛ g a n
대괄호,t ɛ g w a l h o
대기안정지수,t ɛː g i a n ɟ ə ŋ ɟ i s u
대륙괴,t ɛ r j u k k ø
대못,t ɛ m o t
대분수,t ɛ b u n s u
대서양,t ɛ s ə j a ŋ
대웅묘,t ɛ u ŋ m j o
대인배,t ɛ i n b ɛ
대입법,t ɛ i p p ə p
대중,t ɛː ɟ u ŋ
대중,t ɛ ɟ u ŋ
대지,t ɛ ɟ i
대지,t ɛː ɟ i
대천사,t ɛ cʰ ə n s a
대충,t ɛː cʰ u ŋ
대포알,t ɛ pʰ o a l
대항하다,t ɛ h a ŋ h a d a
댄서,t ɛ n s ə
댓글,t ɛ s k ɨ l
더라,t ə r a
더불어,t ə b u l ə
더빙,t ə b i ŋ
더욱더욱,t ə u k t ə u k
더운물,t ə u n m u l
더워지다,t ə w ə ɟ i d a
더해지다,t ə h ɛ ɟ i d a
덕후,t ə k h u
던지,t ə n ɟ i
덤핑,t ə m pʰ i ŋ
덧,t ʌ t̚
덩굴,t ə n g k u l
덩굴식물,t ə n g k u l ʃ i ŋ m u l
덮밥,t ə p b a p
데이타,ˈ d e ɪ t ə
도깨비,t o k ɛ b i
도다,t o d a
도달,t o d a l
도랑,t o ɾ a̠ ŋ
도래,t o r ɛ
도레미,t o r e m i
도레미파,t o r e m i pʰ a
도로수,t o r o s u
도롱이,
도망병,t o m a ŋ b j ə ŋ
도미,t o m i
도서,t o s ə
도안,t o a n
도요새,t o j o s ɛ
도저,d o ɟ ə
도주병,t o c u b j ə ŋ
도착,t oː cʰ a k
도태,t o tʰ ɛ
도피,t o pʰ i
독가스,t o k g a s ɨ
독립적,t o ŋ n i p ɟ ə k
독살하다,t o k s a l h a d a
독성,t o k s ə ŋ
독수리,t o k s u r i
독신자,t o k s i n ɟ a
독약,t o k j a k t o g j a k
독초,t o k cʰ o
독촉하다,t o k cʰ o kʰ a d a
돈,t oː n
돈,t o n
돈독,t o n d o k
돈독,t oː n t o k
돈지랄,t oː n ɟ i r a l
돈지랄하다,t oː n ɟ i r a l h a d a
돌,t o l
돌,t oː l
돌격하다,t o l g j ə k h a d a
돌연,t o l j ə n
돕다,t oː p t a
동,t oː ŋ
동,t o ŋ
동계올림픽,t o ŋ g j e o l l i m pʰ i k
동고비,t o ŋ g o b i
동기,t o ŋ g i
동기,t oː ŋ g i
동메달,t o ŋ m e d a l
동면하다,t o ŋ m j ə n h a d a
동무,t o ŋ m u
동물공포증,t o ŋ m u l g o ŋ pʰ o c ɨ ŋ
동반하다,t o ŋ b a n h a d a
동사하다,t oː ŋ s a h a d a
동성애자,t o ŋ s ə ŋ ɛ ɟ a
동아,t oː ŋ a
동아,t o ŋ a
동안,t o ŋ a n
동안,t oː ŋ a n
동양방송,t o ŋ j a ŋ b a ŋ s o ŋ
동유럽,t o ŋ j u r ə p
동음어,t o ŋ ɨ m ə
동종요법,t o ŋ ɟ o ŋ j o p ə p
동치미,t o ŋ cʰ i m i
동해,t oː ŋ h ɛ
되,t ø t w e
되롱,t w e r o ŋ t ø r o ŋ
되롱룡,t w e r o ŋ r j o ŋ t ø r o ŋ r j o ŋ
되룡,t w e r j o ŋ t ø r j o ŋ
될성부르다,t ø l s ə ŋ b u r ɨ d a t w e l s ə ŋ b u r ɨ d a
두,t uː
두,t u
두근,t u g ɨ n
두근거리다,t u g ɨ n g ə r i d a
두꺼비,t u k ə b i
두덩,t u d ə ŋ
두루,t u r u
두리안,t u r i a n
두만강,t u m a n g a ŋ
두목,t u m o k
두발,t u b a l
두부,t u b u
두제곱,t u c e k o p
둔각,t u n g a k
둔부,t u n b u
둘레,t u l l e
뒤,t w iː t yː
뒤꾸머리,t w i k u m ə r i
뒤꿈치,t w iː k u m cʰ i
뒤지다,t y ɟ i d a t w i ɟ i d a
뒤지다,t yː ɟ i d a t w iː ɟ i d a
뒤집개,t w iː c i p k ɛ
뒷일,t øː t i l
뒷짐결박,t øː t j i m g j ə l b a k
뒷짐결박하다,t øː t j i m g j ə l b a k t a d a
드,t ɨ
드러오다,t ɨ r ə o d a
득점,t ɨ k c ə m
든지,t ɨ n ɟ i
들,t ɨː l
들,t ɨ l
들다,t ɨ l d a
들뜨다,t ɨ l t ɨ d a
들어온말,t ɨ r ə o n m a l
들온말,t ɨ r o n m a l
들추다,t ɯ̈ l ʨʰ u d a̠
등,t ɨ ŋ
등기우편,t ɨ ŋ g i u pʰ j ə n
등산화,d ɨ ŋ s a n h w a
등식,t ɨ ŋ ʃ i k
등업,t ɨ ŋ ə p
등치법,t ɨ ŋ cʰ i p ə p
등호,t ɨ ŋ h o
디스크자키,t i s ɨ kʰ ɨ ɟ a kʰ i
디스토피아,t i s ɨ tʰ o pʰ i a
디엔에이,t i e n e i
디제이,t i ɟ e i
디지털카메라,t i ɟ i tʰ ə l kʰ a m e r a
디카,t i kʰ a
딜,t i l
따뜻,t a t ɨ t
따라,t a r a
딱딱해지다,t a k t a k h ɛ ɟ i d a
땀구멍,t a m k u m ə ŋ
땀띠약,t a m t i j a k
땅빼앗기,t a ŋ p ɛ a t g i
땅콩과자,t a ŋ kʰ o ŋ k w a ɟ a
때리기,t ɛ r i g i
떠들썩거리다,t ə d ɨ l s ə k k ə r i d a
떠메다,t ə m e t a
떠버리,t ə b ə r i
떡꼬치,t ə k k o cʰ i
또똣하다,t o t o tʰ a d a
똥컴,t o ŋ k o
뚜렷,t u
뛰기,t ˈ w i g i
뜨리다,t ɨ r i d a
뜬소문,t ɨ n s o m u n
뜻같은말,t ɨ t k a t ɨ n m aː l
뜻비슷한말,t ɨ t b i s ɨ t tʰ a n m a l
띄워치기,t i w ə cʰ i g i t ɨ j w ə cʰ i g i
라디오텔레폰,r a d i o tʰ e l l e pʰ o n
라디오폰,r a d i o pʰ o n
라렬,r a r j ə l
라마단,r a m a d a n
라바슈,r a b a ʃ u
라벨,r a b e l
라볶이,r a p o k i
라싸,r a s a
락관,r a k g w a n
락관하다,r a k k w a n h a d a
락선,r a k s ə n
락성,r a k s ə ŋ
락후,r a k h u
래객,r ɛ g ɛ k
래퍼,r ɛ pʰ ə
랭각,r ɛ ŋ g a k
랭담,r ɛ ŋ d a m
랭소,r ɛ ŋ s o
랭정,r ɛ ŋ ɟ ə ŋ
랴오양,r j a o j a ŋ
량식,r j a ŋ ʃ i k
레게,r e g e
레모네이드,r e m o n e i t ɨ
레몬수,r e m o n s u
레아,r e a
레즈긴어,r e ɟ ɨ g i n ə
레코드판,r e kʰ o d ɨ pʰ a n
레퀴엠,r e kʰ w i e m
려인,r j ə i n
력,r j ə k
련맹,r j ə n m ɛ ŋ
련습장,r j ə n s ɨ p c a ŋ
련애,r j ə n ɛ
령롱하다,r j ə ŋ r o ŋ h a d a
령사관,r j ə ŋ s a g w a n
례모,r j e m o
로동력,r o d o ŋ n j ə k
로동자,r o d o ŋ ɟ a
로드러너,r o d ɨ r ə n ə
로라스케트,l o r a ʃ ɨ kʰ e tʰ ɨ
로면,r o m j ə n
로모,r o m o
로상,r o s a ŋ
록,r o k
론담,r o n d a m
론리학,r o l l i h a k
론술,r o n s u l
론쟁,r o n ɟ ɛ ŋ
롤러코스터,r o l l ə kʰ o s ɨ tʰ ə
뢰우,r ø u r w e u
료양,r j o j a ŋ
루마니아인,r u m a n i a i n
루블,r u b ɨ l
루비,r u b i
루수,r u s u
류랑,r j u r a ŋ
류머티즘,r j u m ə tʰ i ɟ ɨ m
류별,r j u b j ə l
류의어,r j u ɨ ə
류체,r j u cʰ e
류큐인,r j u kʰ j u i n
류트,r j u tʰ ɨ
류행병,r j u h ɛ ŋ b j ə ŋ
륙가야,r j u k g a j a
륙군,r j u k g u n
리니어모터카,r i u i ə m o tʰ ə kʰ a
리다,r i d a
리드미컬하다,r i d ɨ m i kʰ ə l h a d a
리별,r i b j ə l
리식,r i ʃ i k
리에주,r i e ɟ u
리용,r i j o ŋ
리윤,r i j u n
리점,r i c ə m
리지,r i ɟ i
리투아니아어,r i tʰ u a n i a ə
리투아니아인,r i tʰ u a n i a i n
립헌,r i p h ə n
마가리,m a g a r i
마극,m a g ɨ k
마네킹,ˈ m æ n ə ˌ k ɪ n
마노,m a n o
마르시룻카,m a r ɨ ʃ i r u t kʰ a
마을버스,m a ɨ l p ə s ɨ
마이,m a i
마이너스극,m a i n ə s ɨ k ɨ k
마찰음,m a cʰ a l ɨ m
마취학,m a cʰ w i h a k
마푸둥군어,m a pʰ u d u ŋ g u n ə
막,m a k
막고무신,m a k g o m u ʃ i n
막대기,m a k d ɛ g i
막대사탕,m a k d ɛ s a tʰ a ŋ
만,m aː n
만,m a n
만국지도,m a n k u k c i d o
만날,m aː n n a l
만다린,m a n d a r i n
만렙,t o ŋ k o
만병통치약,m a n b j ə ŋ tʰ o ŋ cʰ i j a k
만보계,m a n b o k j e
만보기,m a n b o g i
만주국,m a n ɟ u g u k
만치,
말,m a l
말,m aː l
말갛다,m a̠ː l g a̠ tʰ a̠
말굽,m a l g u p
말굽자석,m a l g u p ɟ a s ə k
말라리아,m a l l a r i a
말맛,m aː l m a t
말밑,m a l m i t
말소리,m a l s o r i
말투,m a l tʰ u
말판게임,m a l pʰ a n k e i m
맛깔,
맛내기,m a t n ɛ g i
맛세이,m a t s e i
맛집,m a c i p
망,m a ŋ
망가니즈,m a ŋ g a n i ɟ ɨ
망각증,m a ŋ k a k c ɨ ŋ
망고,m a ŋ g o
망토,m a ŋ tʰ o
맞,m a t
맞벌이,m a t p ə r i
맞이,m a t i
매,m ɛː
매,m ɛ
매개,m ɛ g ɛ
매김씨,m ɛ g i m ʃ i
매끄럽다,m ɛ k ɨ r ə p d a
매끈,m ɛ k ɨ n
매끈거리다,m ɛ k ɨ n g ə r i d a
매듭,m ɛ d ɨ p
매미,m ɛː m i
매미,m ɛ m i
매질,m ɛ ɟ i l
매트리스,m æ tʰ ɨ r i s ɨ
매해,m ɛː h ɛ
맥,m ɛ k̚
맥박,m ɛ k b a k
맥쩍다,
맨,m ɛ n
맨,m ɛː n
맨날,m ɛː n n a l
맨틀,m ɛ n tʰ ɨ l
맹,m ɛ ŋ
맹렬하다,m ɛ ŋ n j ə l h a d a
맹모삼천지교,m ɛː ŋ m o s a m cʰ ə n ɟ i g j o
맹물,m ɛ ŋ m u l
머리,m ə r i
머리뼈,m ə r i p ə
머리칼,m ə r i kʰ a l
머스켓,m ə s ɨ kʰ e t
머스터드,m ə ʃ ɨ tʰ ə t ɨ
머스터드소스,m ə ʃ ɨ tʰ ə t ɨ s o s ɨ
머큐로크롬,m ə kʰ j u r o kʰ ɨ r o m
먹거리,m ə k k ə r i
먹먹,m ə k m ə k
먹방,m ə k b a ŋ
먹을거리,m ə k ɨ l k ə r i
멋쟁이,m ə t ɟ ɛ ŋ i
메,m e
메롱,m e r o n g
메리야스,m e r i j a s ɨ
멜라지다,m e l l a ɟ i d a
멤버,m e m p ə
멧도요,m e t d o j o
며,m j ə
면,m j əː n
면,m j ə n
면도,m j əː n d o
면도하다,m j əː n d o h a d a
면모,m j ə n m o
면발,m j əː n b a l
면양,m j ə n j a ŋ
면역,m j ə n j ə k
면제,m j ə n ɟ e
면포,m j ə n pʰ o
면허증,m j ə n h ə c ɨ n g
멸망하다,m j ə l m a ŋ h a d a
멸시,m j ə l ʃ i
멸시하다,m j ə l ʃ i h a d a
명령하다,m j ə ŋ r j ə ŋ h a d a
명명,m j ə ŋ m j ə ŋ
명백히,m j ə ŋ b ɛ k h i
명성,m j ə ŋ s ə ŋ
명승,m j ə ŋ s ɨ ŋ
명왕성,m j ə ŋ w a ŋ s ə ŋ
모과,m o g w a
모두,m o d u
모두,m oː d u
모래밭,m o r ɛ b a t
모래사막,m o r ɛ s a m a k
모름지기,m o r ɨ ɟ i g i
모션,m o ʃ ə n
모임이름씨,m o i m i r ɨ m s i
모자,m o ɟ a
모자,m oː ɟ a
모자이크,m o ɟ a i kʰ ɨ
모터,m o tʰ ə
모텔,m o tʰ e l
목격자,m o k g j ə k ɟ a
목관악기,m o k g w a n a k g i
목석간장,m o k c ə k k a n ɟ a ŋ
목욕탕,m o k j o k tʰ a ŋ
목욕통,m o k j o k tʰ o ŋ
목저가락,m o k c ə k a r a k
목젓가락,m o k c ə t k a r a k
목청,
목침,m o k cʰ i m
목판활자,m o k pʰ a n h w a l c a
목활자,m o k h w a l c a
몸소름,m o m s o r ɨ m
몸짱,m o m c a ŋ
몽고점,m o ŋ g o ɟ ə m
몽골국,m o ŋ g o l g u k
몽골족,m o ŋ g o l ɟ o k
묘,m j o
묘사꾼,m j o s a k u n
묘석,m j o s ə k
묘소,m j o s o
무,m u
무,m uː
무기억증,m u g i ə k c ɨ n g
무능하다,m u n ɨ ŋ h a d a
무당개구리,m uː d a ŋ g ɛ g u r i
무량대수,m u r j a ŋ d ɛ s u
무뢰,m u r w e m u r ø
무릿매,m u r i n m ɛ
무선인터넷,m u s ə n i n tʰ ə n e t
무선전화기,m u s ə n j ə n h w a g i
무성애,m uː s ə ŋ ɛ
무성애자,m uː s ə ŋ ɛ ɟ a
무에진,m u e ɟ i n
무장하다,m u ɟ a ŋ h a d a
무지개,m u ɟ i g ɛ
무지개다리,m u ɟ i g ɛ d a r i
무지하다,m u ɟ i h a d a
무치다,m u cʰ i d a
무침,m u cʰ i m
무표정,m u pʰ j o ɟ ə ŋ
묶음표,m u k ɨ m pʰ j o
문부,m u n b u
문손잡이,m u n s o n ɟ a p i
묻다,m u t t a
묻다,m uː t t a
물개,m u l k ɛ
물결,m u l k j ə l
물고기떡,m u l g o g i t ə k
물레걸음,m u l l e g ə l ɨ m
물리학자,m u l l i h a k c a
물스키,m u l s ɨ kʰ i
물짐승,
물집,m u l c i p
물총,m u l cʰ o ŋ
물총새,m u l cʰ o ŋ s ɛ
물푸레나무,m u l pʰ u r e n a m u
물힘,m u l h i m
미국너구리,m i g u k n ə g u r i
미끄러져빼앗기,m i k ɨ r ə ɟ j ə p ɛ a t k i
미끄럼,m i k ɨ r ə m
미끄럼틀,m i k ɨ r ə m tʰ ɨ l
미나레트,m i n a r e tʰ ɨ
미련,m i r j ə n
미련,m iː r j ə n
미르,m iː r ɨ
미소,m i s o
미스코리아,m i s ɨ kʰ o r i a
미어캣,m i ə kʰ ɛ t
미완성되다,m i w a n s ə ŋ t ø d a
미완성하다,m i w a n s ə ŋ h a d a
미완하다,m i w a n h a d a
미주알고주알,m i ɟ u a l g o ɟ u a l
미친갯병,m i cʰ i n g ɛ t b j ə ŋ
미터기,m i tʰ ə g i
민,m i n
민간무역,m i n g a n m u j ə k
민감하다,m i n g a m h a d a
민국,m i n g u k
민물,
민병,m i n b j ə ŋ
민본주의,m i n b o n d͡ ʑ u ɯ i
민소매,m i n s o m ɛ
민스크,m i n s ɨ kʰ ɨ
민의,m i n ɨ j
민주콩고,m i n ɟ u kʰ o ŋ g o
믿,m i t
밑줄,m i t c u l
바나나색,p a n a n a s ɛ k
바느질하다,p a n ɨ ɟ i l h a d a
바닐라,p a n i l l a
바다물,p a d a m u l
바다쌓임층,p a d a s a h i m cʰ ɨ ŋ
바닷모래,p a d a t m o r ɛ
바닷물고기,p a d a t m u l k o g i
바리,p a r i
바리스타,p a r i s ɨ tʰ a
바삭과자,p a s a g k w a ɟ a
바지선,p a ɟ i s ə n
바지허리춤,p a ɟ i h ə r i cʰ u m
바퀴벌레,p a k w i b ə l l e
바틱,p a tʰ i k
박,p a k
박소,p a k s o
박소하다,p a k s o h a d a
박이,p a̠ g i
박트리아,p a k tʰ ɨ r i a
밖에,p a k
반감기,p a n g a m g i
반공,p aː n g o ŋ
반공,p a n g o ŋ
반공산주의,p aː n g o ŋ s a n ɟ u ɨ j p aː n g o ŋ s a n ɟ u i
반구,p aː n g u
반구,p a n g u
반달괄호,p aː n d a l g w a l h o
반달묶음표,p aː n d a l m u k ɨ m pʰ j o
반도,p aː n d o
반도,p a n d o
반디,p a n d i
반디불,p a n d i p u l
반디불고기,p a n d i p u l k o g i
반딧불게르치,p a n d i t p u l k e r ɨ cʰ i
반론하다,p a l l o n h a d a
반사하다,p a n s a h a d a
반선,p a n s ə n
반원,p a n w ə n
반음,p a n ɨ m
반음계,p a n ɨ m g e
반절본문,p a n ɟ ə l pʰ o m u n
반주악기,p a n ɟ u a k g i
반짇고리,p a n ɟ i t k o r i
반탁음,p a n tʰ a k ɨ m
반파국,p a n pʰ a g u k
반포대교,p a n pʰ o d ɛ g j o
발,p a l
발,p aː l
발라드,p a l l a d ɨ
발버둥,p a l b ə d u ŋ
발카르인,p a l kʰ a r ɨ i n
발컨,p a l kʰ ə n
밞아달리기,p a m a t a l l i g i
밤,p a m
밤,p aː m
밤공포증,p a m k o ŋ pʰ a c ɨ ŋ
밤동물,p a m d oː ŋ m u l
밤살이동물,p a m s a l i d oː ŋ m u l
밥값,p a p k a p
밥판,p a p pʰ a n
방기,p a ŋ g i
방기,p aː ŋ g i
방문,p a ŋ m u n
방문,p aː ŋ m u n
방문자,p a ŋ m u n ɟ a
방앗간,p a ŋ a t k a n
방화복,p a ŋ h w a b o k
밭주인,
배구공,p ɛ g u g o ŋ
배움나들이,p ɛ u m n a d ɨ l i
배은망덕하다,p ɛː ɨ n m a ŋ d ə k kʰ a d a
배춧국,p ɛ cʰ u t k u k
백골난망,p ɛ k k o l n a n m a ŋ
백년하청,p ɛ ŋ ɲ ə n h a cʰ ə ŋ
백두산,p ɛ k t u s a n
백두산호랑이,p ɛ k t u s a n h o r a ŋ i
백만장자,p ɛ ŋ m a n ɟ a ŋ ɟ a
백반,p ɛ k b a n
백분비,p ɛ k b u n b i
백분율,p ɛ k b u n j u l
백설탕,p ɛ k s ə l tʰ a ŋ
백악,p ɛ k a k
백악기,p ɛ k a k g i
백영사,p ɛ ŋ n j ə ŋ s a
백중지간,p ɛ k c u ŋ ɟ i g a n
백중지세,p ɛ k c u ŋ ɟ i s e
백째,p ɛ k c ɛ
백포도주,p ɛ k pʰ o d o ɟ u
백혈병,p ɛ k h j ə l b j ə ŋ
밴대,p ɛ n d ɛ
뱀파이어,p ɛ m pʰ a i ə
뱃머리,p ɛ t m ə r i
버겁다,p ə g ə p t a
버그,p ə g ɨ
버드나무,p ə d ɨ n a m u
버들,p ə d ɨ l
버마,p ə m a
버뮤다,p ə m j u d a
버석거리다,p ə s ə k g ə r i d a
버선,p ə s ə n
버섯구름,p ə s ə t k u r ɨ m
번분수,p ə n b u n s u
번역가,p ə n j ə k g a
번역하다,p ə n j ə k kʰ a d a
번영,p ə n j ə ŋ
번영하다,p ə n j ə ŋ h a d a
벌,p ə l
벌,p əː l
벌거숭이,p ə l g ə s u ŋ i
벌물,
벌새,p ə l s ɛ
벌주다,p ə l ɟ u d a
벌침,p əː l cʰ i m
범,p ə m
